,spk,txt,emo,tense,emo_address,wav_address
16,1075,ITS,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1075_ITS_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1075_ITS_ANG_XX.wav
17,1005,IWW,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1005_IWW_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1005_IWW_ANG_XX.wav
18,1062,MTI,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1062_MTI_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1062_MTI_DIS_XX.wav
19,1016,IOM,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1016_IOM_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1016_IOM_ANG_XX.wav
20,1086,IEO,ANG,HI,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1086_IEO_ANG_HI.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1086_IEO_ANG_HI.wav
21,1031,ITH,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1031_ITH_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1031_ITH_HAP_XX.wav
22,1011,TSI,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1011_TSI_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1011_TSI_DIS_XX.wav
23,1061,WSI,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1061_WSI_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1061_WSI_NEU_XX.wav
24,1024,TSI,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1024_TSI_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1024_TSI_FEA_XX.wav
25,1066,TAI,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1066_TAI_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1066_TAI_SAD_XX.wav
26,1090,TSI,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1090_TSI_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1090_TSI_HAP_XX.wav
27,1010,IOM,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1010_IOM_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1010_IOM_FEA_XX.wav
28,1080,IEO,FEA,HI,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1080_IEO_FEA_HI.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1080_IEO_FEA_HI.wav
29,1069,MTI,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1069_MTI_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1069_MTI_HAP_XX.wav
30,1048,IEO,SAD,MD,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1048_IEO_SAD_MD.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1048_IEO_SAD_MD.wav
31,1082,IEO,DIS,LO,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1082_IEO_DIS_LO.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1082_IEO_DIS_LO.wav
32,1059,IWL,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1059_IWL_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1059_IWL_SAD_XX.wav
33,1059,TAI,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1059_TAI_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1059_TAI_ANG_XX.wav
34,1040,TAI,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1040_TAI_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1040_TAI_DIS_XX.wav
35,1082,TSI,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1082_TSI_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1082_TSI_NEU_XX.wav
36,1002,MTI,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1002_MTI_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1002_MTI_ANG_XX.wav
37,1063,ITS,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1063_ITS_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1063_ITS_HAP_XX.wav
38,1053,TAI,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1053_TAI_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1053_TAI_FEA_XX.wav
39,1062,TIE,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1062_TIE_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1062_TIE_SAD_XX.wav
40,1023,ITH,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1023_ITH_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1023_ITH_NEU_XX.wav
41,1004,IOM,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1004_IOM_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1004_IOM_HAP_XX.wav
42,1074,IEO,HAP,HI,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1074_IEO_HAP_HI.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1074_IEO_HAP_HI.wav
43,1018,TSI,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1018_TSI_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1018_TSI_HAP_XX.wav
44,1008,IEO,FEA,HI,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1008_IEO_FEA_HI.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1008_IEO_FEA_HI.wav
45,1043,ITH,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1043_ITH_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1043_ITH_ANG_XX.wav
46,1039,TAI,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1039_TAI_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1039_TAI_NEU_XX.wav
47,1088,MTI,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1088_MTI_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1088_MTI_SAD_XX.wav
48,1043,TIE,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1043_TIE_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1043_TIE_HAP_XX.wav
49,1009,WSI,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1009_WSI_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1009_WSI_ANG_XX.wav
50,1065,IWW,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1065_IWW_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1065_IWW_DIS_XX.wav
51,1076,IOM,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1076_IOM_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1076_IOM_DIS_XX.wav
52,1043,DFA,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1043_DFA_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1043_DFA_DIS_XX.wav
53,1003,WSI,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1003_WSI_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1003_WSI_FEA_XX.wav
54,1012,IWW,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1012_IWW_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1012_IWW_SAD_XX.wav
55,1037,TSI,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1037_TSI_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1037_TSI_SAD_XX.wav
56,1029,IEO,HAP,MD,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1029_IEO_HAP_MD.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1029_IEO_HAP_MD.wav
57,1056,DFA,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1056_DFA_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1056_DFA_FEA_XX.wav
58,1023,IOM,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1023_IOM_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1023_IOM_SAD_XX.wav
59,1082,ITS,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1082_ITS_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1082_ITS_SAD_XX.wav
60,1089,IOM,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1089_IOM_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1089_IOM_FEA_XX.wav
61,1010,IEO,HAP,LO,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1010_IEO_HAP_LO.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1010_IEO_HAP_LO.wav
62,1078,IWW,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1078_IWW_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1078_IWW_FEA_XX.wav
63,1082,IWL,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1082_IWL_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1082_IWL_FEA_XX.wav
64,1046,IEO,DIS,LO,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1046_IEO_DIS_LO.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1046_IEO_DIS_LO.wav
65,1091,TIE,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1091_TIE_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1091_TIE_ANG_XX.wav
66,1052,WSI,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1052_WSI_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1052_WSI_SAD_XX.wav
67,1059,IEO,FEA,LO,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1059_IEO_FEA_LO.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1059_IEO_FEA_LO.wav
68,1071,IEO,FEA,MD,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1071_IEO_FEA_MD.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1071_IEO_FEA_MD.wav
69,1038,IEO,HAP,HI,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1038_IEO_HAP_HI.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1038_IEO_HAP_HI.wav
70,1077,IEO,ANG,MD,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1077_IEO_ANG_MD.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1077_IEO_ANG_MD.wav
71,1017,TAI,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1017_TAI_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1017_TAI_FEA_XX.wav
72,1027,ITS,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1027_ITS_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1027_ITS_HAP_XX.wav
73,1026,TIE,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1026_TIE_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1026_TIE_SAD_XX.wav
74,1083,TAI,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1083_TAI_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1083_TAI_HAP_XX.wav
75,1091,ITS,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1091_ITS_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1091_ITS_NEU_XX.wav
76,1079,TIE,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1079_TIE_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1079_TIE_DIS_XX.wav
77,1004,TAI,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1004_TAI_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1004_TAI_DIS_XX.wav
78,1032,IOM,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1032_IOM_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1032_IOM_NEU_XX.wav
79,1088,IWL,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1088_IWL_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1088_IWL_ANG_XX.wav
80,1021,IWW,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1021_IWW_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1021_IWW_NEU_XX.wav
81,1046,TSI,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1046_TSI_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1046_TSI_NEU_XX.wav
82,1007,TIE,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1007_TIE_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1007_TIE_HAP_XX.wav
83,1041,IWW,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1041_IWW_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1041_IWW_ANG_XX.wav
84,1066,TSI,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1066_TSI_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1066_TSI_ANG_XX.wav
85,1052,IOM,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1052_IOM_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1052_IOM_ANG_XX.wav
86,1007,ITH,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1007_ITH_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1007_ITH_ANG_XX.wav
87,1071,TIE,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1071_TIE_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1071_TIE_NEU_XX.wav
88,1068,IWL,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1068_IWL_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1068_IWL_NEU_XX.wav
89,1060,TSI,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1060_TSI_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1060_TSI_FEA_XX.wav
90,1046,ITS,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1046_ITS_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1046_ITS_SAD_XX.wav
91,1086,DFA,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1086_DFA_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1086_DFA_HAP_XX.wav
92,1057,IEO,SAD,HI,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1057_IEO_SAD_HI.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1057_IEO_SAD_HI.wav
93,1033,WSI,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1033_WSI_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1033_WSI_HAP_XX.wav
94,1029,IWW,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1029_IWW_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1029_IWW_DIS_XX.wav
95,1001,ITH,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1001_ITH_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1001_ITH_FEA_XX.wav
96,1007,DFA,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1007_DFA_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1007_DFA_DIS_XX.wav
97,1026,MTI,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1026_MTI_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1026_MTI_DIS_XX.wav
98,1039,ITS,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1039_ITS_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1039_ITS_ANG_XX.wav
99,1084,IEO,SAD,MD,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1084_IEO_SAD_MD.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1084_IEO_SAD_MD.wav
100,1039,MTI,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1039_MTI_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1039_MTI_FEA_XX.wav
101,1033,ITS,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1033_ITS_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1033_ITS_FEA_XX.wav
102,1040,IOM,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1040_IOM_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1040_IOM_HAP_XX.wav
103,1044,IEO,FEA,HI,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1044_IEO_FEA_HI.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1044_IEO_FEA_HI.wav
104,1054,TSI,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1054_TSI_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1054_TSI_HAP_XX.wav
105,1020,ITS,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1020_ITS_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1020_ITS_DIS_XX.wav
106,1078,DFA,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1078_DFA_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1078_DFA_NEU_XX.wav
107,1031,IEO,DIS,HI,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1031_IEO_DIS_HI.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1031_IEO_DIS_HI.wav
108,1025,WSI,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1025_WSI_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1025_WSI_NEU_XX.wav
109,1045,WSI,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1045_WSI_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1045_WSI_ANG_XX.wav
110,1013,TIE,FEA,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1013_TIE_FEA_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1013_TIE_FEA_XX.wav
111,1019,ITS,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1019_ITS_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1019_ITS_NEU_XX.wav
112,1075,TAI,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1075_TAI_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1075_TAI_NEU_XX.wav
113,1065,IEO,HAP,MD,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1065_IEO_HAP_MD.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1065_IEO_HAP_MD.wav
114,1073,TSI,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1073_TSI_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1073_TSI_SAD_XX.wav
115,1067,ITH,DIS,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1067_ITH_DIS_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1067_ITH_DIS_XX.wav
116,1058,IEO,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1058_IEO_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1058_IEO_NEU_XX.wav
117,1019,TIE,ANG,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1019_TIE_ANG_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1019_TIE_ANG_XX.wav
118,1014,ITH,SAD,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1014_ITH_SAD_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1014_ITH_SAD_XX.wav
119,1076,IWL,HAP,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1076_IWL_HAP_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1076_IWL_HAP_XX.wav
120,1014,IOM,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1014_IOM_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1014_IOM_NEU_XX.wav
121,1028,TSI,NEU,XX,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1028_TSI_NEU_XX.wav.emo.npy,/home/ubuntu/efs/sts/CREMA-D/AudioWAV/1028_TSI_NEU_XX.wav
